"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2014","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","20000","0","0"
"2014","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","288000","0","0"
"2014","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","6000","0","0"
"2014","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","3000","0","0"
"2014","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","5000","0","0"
"2014","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","6000","0","0"
"2014","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","6000","0","0"
"2014","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","30593276","0","0"
"2014","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","61000","0","0"
"2014","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","0","0"
"2014","경찰청","경찰병원","손익계정","재화및용역판매수입","병원수입","병원수입","1836000","0","0"
"2014","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","316000","0","0"
"2014","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","3025000","0","0"
"2014","경찰청","경찰병원","손익계정","정부내부수입및기타","전입금","일반회계전입금","25938000","0","0"
"2014","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","감가상각비전입금","1000","0","0"
"2014","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","당기순이익전입금","1000","0","0"
"2014","경찰청","경찰병원","자본계정","정부내부수입및기타","전입금","일반회계전입금","2233000","0","0"
"2014","경찰청","일반회계",,"경상이전수입","가산금","가산금","10930000","0","0"
"2014","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","5322000","0","0"
"2014","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","646459000","0","0"
"2014","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","147509000","0","0"
