"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2012","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 운영","인건비","67682660","0","0"
"2012","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 운영","기본경비","26111698","0","0"
"2012","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 국정지원","국정운영 지원","29437000","0","0"
"2012","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 국정지원","대통령실 정보화","4557000","0","0"
"2012","대통령실","일반회계",,"일반공공행정","일반행정","대통령 및 국가요인 경호","경호행사지원","40207060","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의정지원","64765543","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","위원회운영지원","11041894","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의회외교","7802306","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","국회활동관련단체지원","15437000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","예비금","1300000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","제19대국회 개원경비","4699000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","의회운영지원","10429762","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","법제활동지원","1024947","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","국회청사확보및시설관리","40220000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","입법정보화","15814000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","의회운영교육 수입대체경비","130000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","국회방송운영","12001538","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관운영지원","1102980","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","입법정보지원","803872","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료확충및보존","6527393","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","전자도서관운영","8824000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","기획관리및운영지원","658920","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","2684066","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","예산정책처정보화","610000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","기획관리및운영지원","584000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법및정책조사분석","1865316","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법조사처 정보화","839000","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","사무처 인건비","238369439","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","도서관 인건비","18665644","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","예산처 인건비","8268830","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","조사처 인건비","7635379","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","사무처 기본경비","19438677","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","도서관 기본경비","1435890","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","예산처 기본경비","1928044","0","0"
"2012","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","조사처 기본경비","1125526","0","0"
"2012","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부인건비","741733384","0","0"
"2012","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","소속기관 인건비","53562028","0","0"
"2012","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부 기본경비","60364748","0","0"
"2012","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","소속기관 기본경비","5737630","0","0"
"2012","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","사법운영지원","42241000","0","0"
