회계연도,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,전년도당초금액(천원),금년도정부안(천원),금년도국회확정(천원)
2018,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,감사연구활동경비,435000,425000,0
2018,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,감사활동경비,23074000,23198000,0
2018,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,국제교류협력강화,268000,262000,0
2018,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,기본경비,11513000,11777000,0
2018,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,수입대체경비,358000,349000,0
2018,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,인건비,81434906,86739781,0
2018,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,전산운영경비,7046000,6358000,0
2018,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,청사 및 시설물 관리,1058000,1021000,0
2018,경찰청,경찰병원,손익계정,공공질서및안전,경찰,경찰병원운영,경찰병원기본경비,3767000,3946000,0
2018,경찰청,경찰병원,손익계정,공공질서및안전,경찰,경찰병원운영,경찰병원인건비,37183729,38458819,0
2018,경찰청,경찰병원,손익계정,공공질서및안전,경찰,경찰병원운영,장례식장운영,1916000,1861000,0
2018,경찰청,경찰병원,손익계정,공공질서및안전,경찰,경찰병원운영,진료업무지원,23884000,23129000,0
2018,경찰청,경찰병원,손익계정,공공질서및안전,경찰,회계기금간거래(공무원연금부담금),공무원연금부담금(경찰병원계정),3845000,4268000,0
2018,경찰청,경찰병원,자본계정,공공질서및안전,경찰,경찰병원운영,경찰병원기본경비,170000,183000,0
2018,경찰청,경찰병원,자본계정,공공질서및안전,경찰,경찰병원운영,자산취득,2471000,5388000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,감사·인권보호활동,2916000,3117000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,경찰복지증진,28029000,31400000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,경찰인력증원(인건비),0,0,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,대국민치안정책제공,1232000,1237000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,본부기본경비,391897631,397360000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,본부인건비,7683890094,8055554283,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,소속기관기본경비,11814000,11759000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,소속기관인건비,74354185,99710276,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,일반행정업무지원,546883000,565677000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,행정효율성증진및능력개발,3370000,3266000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,교통안전·소통확보,교통사고예방,274051000,271666000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,교통안전·소통확보,교통행정전산화(정보화),4061000,3659000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,국가안보확보,국제교류협력활동,5617000,7007000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,국가안보확보,대테러상황관리,16457000,14596000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,국가안보확보,보안경찰활동,36639523,36518000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,국가안보확보,외사경찰활동,16012391,16853000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,범죄수사활동,범죄수사,127994707,115367000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,범죄수사활동,사이버수사,7480000,10015000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,범죄수사활동,첨단과학수사,19290000,28579000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,범죄예방및사회적약자보호,범죄예방,28457000,26225000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,범죄예방및사회적약자보호,여성청소년보호활동,16543000,17989000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,사회질서유지,경비경찰역량강화,200290000,186270000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,사회질서유지,치안정보활동,40299400,37824000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,전문경찰양성,경찰대학운영,9285000,9263000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,전문경찰양성,경찰보수교육,8767000,6991000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,전문경찰양성,수사경찰전문교육,2242000,2489000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,전문경찰양성,신임순경교육,20477000,23034000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,전문경찰양성,우수인재확보및능력개발,7436000,7839000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,치안인프라구축,경찰유무선망개선,53027000,55954000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,치안인프라구축,경찰장비현대화,260233180,257074000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,치안인프라구축,경찰정보화기반고도화(정보화),52277000,53618000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,치안인프라구축,정책연구개발(R&D),9715000,13348000,0
2018,경찰청,일반회계,,공공질서및안전,경찰,치안인프라구축,헬기운용 및 현대화,42400000,50762000,0
2018,경찰청,일반회계,,사회복지,취약계층지원,범죄예방및사회적약자보호,여성청소년보호활동,24082000,42227000,0
2018,경찰청,지역발전특별회계,제주특별자치도계정,공공질서및안전,경찰,경찰행정지원,제주이관인력지원,3834000,4027000,0
2018,고용노동부,에너지및자원사업특별회계,투자계정,사회복지,노동,산업재해예방,진폐근로자보호,71093000,80900000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,고용노동행정정보화,14661000,14224000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,고용노동행정혁신,825000,825000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,노동위원회운영,5166000,5246000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,노사정위원회운영,2306000,2191000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,본부기본경비,16347000,18330000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,본부인건비,62759810,66048889,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,소속기관기본경비,3188000,3179000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,소속기관인건비,22827141,23997172,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,일자리위원회운영,0,5245000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,정책연구개발,776000,776000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,지방청기본경비,11583000,13070000,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,지방청인건비,235838230,281172601,0
2018,고용노동부,일반회계,,사회복지,노동,고용노동행정지원,청관사유지,10519000,10720000,0
2018,고용노동부,일반회계,,사회복지,노동,고용정책,고용노동통계조사,11621000,17030000,0
2018,고용노동부,일반회계,,사회복지,노동,고용정책,고용영향평가사업,3774000,6800000,0
