"회계연도","소관명","회계명","계정명","분야명","부분명","프로그램명","단위사업명","전년도당초금액(천원)","금년도정부안(천원)","금년도국회확정(천원)"
"2014","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","502000","502000","478000"
"2014","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","22924000","23277000","23154000"
"2014","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","403000","290000","271000"
"2014","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","10705000","10313000","10374000"
"2014","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","303000","288000","288000"
"2014","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","인건비","66462728","68632651","68632651"
"2014","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","3678000","3110000","3110000"
"2014","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","1525000","869000","869000"
"2014","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","3307000","3604002","3604002"
"2014","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","31360552","31529274","31529274"
"2014","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","장례식장운영","0","0","928000"
"2014","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","진료업무지원","24716448","22685000","22685000"
"2014","경찰청","경찰병원","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원계정)","2666000","3039000","3039000"
"2014","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","156000","156000","156000"
"2014","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","자산취득","2097000","1779000","2079000"
"2014","경찰청","광역지역발전특별회계","광역발전계정","공공질서및안전","경찰","교통안전·소통확보","광역교통관리체계개선","24000000","23519000","23876000"
"2014","경찰청","광역지역발전특별회계","제주특별자치도계정","공공질서및안전","경찰","경찰행정지원","제주이관인력지원","3014000","3225000","3225000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","감사·인권보호활동","1429000","2900000","2950000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경찰복지증진","9923000","8823000","8823000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경찰인력증원(인건비)","0","0","0"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","대국민치안정책제공","820000","843000","843000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부기본경비","366571196","371705176","371705176"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부인건비","6104564890","6558021065","6558021065"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관기본경비","11193207","11164822","11164822"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관인건비","58153901","87302124","87302124"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","일반행정업무지원","437035000","454111000","454867000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","행정효율성증진및능력개발","3254000","3021000","3021000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","교통안전·소통확보","교통사고예방","292759000","261078000","260906000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","교통안전·소통확보","교통행정전산화(정보화)","3534000","2825000","2825000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","국제교류협력활동","2481000","2321000","2321000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","대테러상황관리","6566000","7453000","7452000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","보안경찰활동","35917000","33676000","33484000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","외사경찰활동","13341000","13798000","14790000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","사이버범죄수사(정보화)","7783000","7301000","7301000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","수사활동","112796000","113442000","113841000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","외사활동","19924000","18141000","18053000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","범죄예방및사회적약자보호","범죄예방","21119000","21561000","21777000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","범죄예방및사회적약자보호","여성청소년보호활동","12005000","15062000","15062000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","사회질서유지","경비경찰역량강화","169730000","178660000","180252000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","사회질서유지","치안정보수집관리","38200000","38031000","37667000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","경찰대학운영","9152000","8699000","8764000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","경찰보수교육","9045000","7180000","7180000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","수사경찰전문교육","4121000","2499000","2499000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","신임순경교육","11146000","25294000","25294000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","우수인재확보및능력개발","9472000","8525000","8525000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰유무선망개선","67623000","63023000","63007000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰장비현대화","236112000","240431000","240431000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰정보화기반고도화(정보화)","55501000","52621000","52621000"
"2014","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","헬기운용 및 현대화","22886000","23666000","23666000"
"2014","경찰청","일반회계",,"사회복지","취약계층지원","범죄예방및사회적약자보호","여성청소년보호활동","21916000","24009000","24009000"
"2014","경찰청","혁신도시건설특별회계",,"공공질서및안전","경찰","경찰행정지원","혁신도시건설","11000000","77923000","77923000"
"2014","고용노동부","광역지역발전특별회계","제주특별자치도계정","사회복지","노동","고용노동행정지원","자치단체직업능력개발지원(제주)","275000","275000","275000"
"2014","고용노동부","광역지역발전특별회계","제주특별자치도계정","사회복지","노동","고용노동행정지원","제주이관업무지원","8289000","9515000","9515000"
"2014","고용노동부","농어촌구조개선특별회계","농어촌특별세사업계정","사회복지","노동","직업능력개발","농어민지역실업자직업훈련","819000","819000","819000"
"2014","고용노동부","에너지및자원사업특별회계","투자계정","사회복지","노동","산업재해예방","진폐근로자보호","46560000","43472000","43472000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","고객상담센터운영","1251000","1154000","1154000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","고용노동행정정보화","14558000","13458000","13458000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","고용노동행정혁신","1038000","953000","953000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","노동위원회운영","5043000","5106000","5106000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","노사정위원회운영","3179000","3315000","3315000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","본부기본경비","14267000","14258000","14258000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","본부인건비","49905814","52059777","52059777"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","소속기관기본경비","3042000","3046000","3046000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","소속기관인건비","23525374","24239397","24239397"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","정책연구개발","889000","889000","889000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","지방청기본경비","11842000","11915000","11915000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","지방청인건비","192392842","200682104","200682104"
"2014","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","청관사유지","11332000","19088000","13784000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","고용노동통계조사","10650000","10341000","10341000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","고용센터인력지원","24292000","35330000","35630000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","고용영향평가사업","1964000","2819000","2819000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","고용지원인프라운영","23312000","22447000","26097000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","대상별취업지원","172462000","231426000","223929000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","사회보험 사각지대 해소","538438000","555155000","555155000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","사회적기업육성","160541000","155883000","155883000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","스펙초월 채용시스템구축","0","4740000","2490000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","중소기업청년인턴제","162417000","102772000","101772000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","지역일자리목표공시제","397000","400000","400000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","청년 창직창업 활성화","0","0","0"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","청년강소기업체험프로그램","9096000","4962000","4962000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","청년취업아카데미운영지원","39300000","33470000","33470000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","한국고용정보원출연","18357000","19813000","19813000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","한국잡월드운영","7526000","7342000","7342000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","해외인턴사업","0","7000000","5250000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","해외취업지원","18501000","32772000","23729000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용정책","핵심직무역량평가모델개발및보급","500000","1215000","1215000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용평등실현","고용평등환경개선","1299000","1424000","1424000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용평등실현","상용형 시간선택제 일자리 사회보험료 지원","0","10052000","8544000"
"2014","고용노동부","일반회계",,"사회복지","노동","고용평등실현","장년희망찾기지원","24870000","29060000","29060000"
"2014","고용노동부","일반회계",,"사회복지","노동","국제고용노동협력","국제기구협력지원","13206000","11955000","11955000"
"2014","고용노동부","일반회계",,"사회복지","노동","국제고용노동협력","국제노동교류협력","722000","519000","519000"
"2014","고용노동부","일반회계",,"사회복지","노동","국제고용노동협력","외국인력관리지원","2648000","2378000","2378000"
"2014","고용노동부","일반회계",,"사회복지","노동","근로조건보호및복지증진","근로감독행정","4178000","4178000","4178000"
"2014","고용노동부","일반회계",,"사회복지","노동","근로조건보호및복지증진","근로조건보호","15241000","15239000","13664000"
"2014","고용노동부","일반회계",,"사회복지","노동","근로조건보호및복지증진","퇴직급여정착지원제도","1547000","1300000","1300000"
"2014","고용노동부","일반회계",,"사회복지","노동","노사정책","노사문화구축","11180000","6024000","6024000"
"2014","고용노동부","일반회계",,"사회복지","노동","노사정책","노사발전재단지원","2996000","7938000","9513000"
"2014","고용노동부","일반회계",,"사회복지","노동","노사정책","노사협력","4088000","4088000","4588000"
"2014","고용노동부","일반회계",,"사회복지","노동","노사정책","선진노사관계전문가 육성","831000","0","0"
"2014","고용노동부","일반회계",,"사회복지","노동","지방고용노동행정","지방고용노동관서운영","1777000","1714000","1714000"
"2014","고용노동부","일반회계",,"사회복지","노동","직업능력개발","실업자능력개발지원","98806000","74192000","74362000"
"2014","고용노동부","일반회계",,"사회복지","노동","직업능력개발","중장년취업아카데미운영","0","4500000","4500000"
"2014","고용노동부","일반회계",,"사회복지","노동","직업능력개발","한국기술교육대학교출연","36292000","37375000","38075000"
"2014","고용노동부","일반회계",,"사회복지","노동","직업능력개발","한국산업인력공단출연","61747000","56202000","56202000"
"2014","고용노동부","일반회계",,"사회복지","노동","직업능력개발","한국폴리텍대학출연","139829000","144818000","146868000"
"2014","고용노동부","일반회계",,"사회복지","노동","회계기금간거래(전출금)","일반회계에서 고용보험기금으로의 전출금(고용보험운영)","218000","218000","218000"
"2014","고용노동부","일반회계",,"사회복지","노동","회계기금간거래(전출금)","일반회계에서 고용보험기금으로의 전출금(모성보호지원)","25000000","35000000","35000000"
"2014","고용노동부","일반회계",,"사회복지","노동","회계기금간거래(전출금)","일반회계에서 고용보험기금으로의 전출금(자영업자 고용보험사업지원)","2000000","2000000","2000000"
"2014","고용노동부","일반회계",,"사회복지","노동","회계기금간거래(전출금)","일반회계에서 산재기금으로의 전출금","15500000","15500000","15500000"
"2014","고용노동부","일반회계",,"사회복지","노동","회계기금간거래(전출금)","일반회계에서 임채기금으로의 전출금(임채기금운영)","82000","82000","82000"
"2014","고용노동부","일반회계",,"사회복지","노동","회계기금간거래(전출금)","일반회계에서 장애인기금으로의 전출금(장애인기금운영)","25000000","25000000","25000000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","독과점시장 환경개선","873000","715000","705000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","선진 경쟁정책 추진","784000","869000","859000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","시장구조개선","178000","173000","173000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","카르텔대응강화","601000","595000","595000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","한국공정거래조정원 출연","4188000","4278000","4278000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","공정거래 행정지원","공정위 정보화","1576000","3092000","3092000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","공정거래 행정지원","기본경비","6425000","6795000","6795000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","공정거래 행정지원","인건비","33516378","34452322","34452322"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","공정거래 행정지원","행정지원","6329000","4724000","5214000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","소비자후생 증진","선진 소비자정책 추진","457000","475000","475000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","소비자후생 증진","소비자권익증진 지원","1579000","2141000","2141000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","소비자후생 증진","소비자보호 인프라 운용","3300000","3319000","3299000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","소비자후생 증진","한국소비자원 출연","31857000","21086000","21066000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","중소기업 경쟁여건 개선","가맹유통분야 거래행태 개선","758000","597000","597000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","중소기업 경쟁여건 개선","대중소기업 동반성장시책 추진","147000","118000","118000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","중소기업 경쟁여건 개선","하도급분야 거래행태 개선","703000","706000","706000"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","회계기금간거래(예수원금상환)","회계기금간 예수원금상환(일반회계)","37000","0","0"
"2014","공정거래위원회","일반회계",,"일반·지방행정","일반행정","회계기금간거래(예수원금상환)","회계기금간 예수이자상환(일반회계)","2000","0","0"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","관세심사","관세탈루심사지원","5079000","4837000","5339000"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","관세행정지원","관세국경관리연수원","1260000","1260000","1260000"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","관세행정지원","관세정책지원","20997000","20747000","20747000"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","관세행정지원","본청기본경비","8436000","8718843","8718843"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","관세행정지원","본청인건비","37824183","40281743","40281743"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","관세행정지원","소속기관기본경비","19237000","18903612","18903612"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","관세행정지원","소속기관인건비","213864322","222261084","222261084"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","관세행정지원","청사확보 및 시설개선","21463000","22228000","22176000"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","밀수감시단속","밀수단속지원","7057000","6907000","6907000"
"2014","관세청","일반회계",,"일반·지방행정","재정·금융","밀수감시단속","조사감시선진화","29167000","25340000","25273000"
